algorithm	alpha	beta	candidates	QPS	ms_per_q	R@1	R@10
DynamicActivation	0.005	0.0005	50000	91	10.951	nan	nan
MultiSequence	0.005	0.0005	50000	89	11.264	nan	nan
DynamicActivation	0.01	0.001	100000	82	12.169	nan	nan
MultiSequence	0.01	0.001	100000	78	12.864	nan	nan
DynamicActivation	0.02	0.002	200000	71	14.127	nan	nan
MultiSequence	0.02	0.002	200000	68	14.689	nan	nan
DynamicActivation	0.03	0.003	300000	65	15.472	nan	nan
MultiSequence	0.03	0.003	300000	64	15.718	nan	nan
DynamicActivation	0.05	0.005	500000	57	17.674	nan	nan
MultiSequence	0.05	0.005	500000	58	17.367	nan	nan
DynamicActivation	0.07	0.007	700000	57	17.587	nan	nan
MultiSequence	0.07	0.007	700000	54	18.498	nan	nan
DynamicActivation	0.1	0.01	1000000	46	21.701	nan	nan
MultiSequence	0.1	0.01	1000000	37	27.023	nan	nan
DynamicActivation	0.15	0.015	1500000	40	24.943	nan	nan
MultiSequence	0.15	0.015	1500000	38	26.255	nan	nan
DynamicActivation	0.2	0.02	2000000	20	50.280	nan	nan
MultiSequence	0.2	0.02	2000000	18	57.025	nan	nan
