algorithm	alpha	beta	candidates	QPS	ms_per_q	R@1	R@10
DynamicActivation	0.005	0.0005	50000	84	11.888	0.9096	0.8417
MultiSequence	0.005	0.0005	50000	80	12.481	0.9096	0.8417
DynamicActivation	0.01	0.001	100000	76	13.107	0.9728	0.9415
MultiSequence	0.01	0.001	100000	73	13.709	0.9728	0.9415
DynamicActivation	0.02	0.002	200000	69	14.409	0.9924	0.9805
MultiSequence	0.02	0.002	200000	63	15.992	0.9924	0.9805
DynamicActivation	0.03	0.003	300000	63	15.849	0.9958	0.9909
MultiSequence	0.03	0.003	300000	61	16.352	0.9958	0.9909
DynamicActivation	0.05	0.005	500000	51	19.486	0.9983	0.9981
MultiSequence	0.05	0.005	500000	47	21.076	0.9983	0.9981
DynamicActivation	0.07	0.007	700000	47	21.205	0.9992	0.9991
MultiSequence	0.07	0.007	700000	47	21.496	0.9992	0.9991
DynamicActivation	0.1	0.01	1000000	41	24.577	0.9992	0.9993
MultiSequence	0.1	0.01	1000000	40	25.036	0.9992	0.9993
DynamicActivation	0.15	0.015	1500000	27	37.215	0.9984	0.9996
MultiSequence	0.15	0.015	1500000	30	33.645	0.9984	0.9996
DynamicActivation	0.2	0.02	2000000	31	31.778	0.9985	0.9997
MultiSequence	0.2	0.02	2000000	29	34.397	0.9985	0.9997
