sweep_var	x_val	Ns	nc	K	alpha	beta	QPS	R@1	R@10	build_s	index_mb
Ns	2	2	50	2500	0.05	0.005	30	0.9470	0.9298	9.8	3662
Ns	4	4	50	2500	0.05	0.005	25	0.9875	0.9782	25.5	3662
Ns	6	6	50	2500	0.05	0.005	27	0.9960	0.9904	27.9	3662
Ns	8	8	50	2500	0.05	0.005	24	0.9978	0.9961	24.8	3662
Ns	12	12	50	2500	0.05	0.005	21	0.9991	0.9982	30.7	3662
Ns	16	16	50	2500	0.05	0.005	21	0.9990	0.9987	30.5	3662
nc	10	8	10	100	0.05	0.005	34	0.9662	0.9469	24.8	3662
nc	25	8	25	625	0.05	0.005	54	0.9953	0.9894	14.6	3662
nc	50	8	50	2500	0.05	0.005	58	0.9978	0.9961	7.1	3662
nc	75	8	75	5625	0.05	0.005	54	0.9989	0.9978	6.5	3662
nc	100	8	100	10000	0.05	0.005	51	0.9989	0.9987	6.5	3662
