sweep_var	x_val	Ns	nc	K	alpha	beta	QPS	R@1	R@10	build_s	index_mb
Ns	1	1	50	2500	0.05	0.005	30	0.9926	0.9896	8.3	4883
Ns	2	2	50	2500	0.05	0.005	18	0.9786	0.9679	14.6	4883
Ns	4	4	50	2500	0.05	0.005	24	0.9975	0.9960	24.5	4883
Ns	8	8	50	2500	0.05	0.005	18	0.9992	0.9982	13.9	4883
Ns	16	16	50	2500	0.05	0.005	6	0.9971	0.9965	32.1	4883
Ns	32	32	50	2500	0.05	0.005	4	0.9916	0.9829	74.9	4883
nc	10	8	10	100	0.05	0.005	11	0.9851	0.9736	50.9	4883
nc	25	8	25	625	0.05	0.005	14	0.9974	0.9958	48.3	4883
nc	50	8	50	2500	0.05	0.005	11	0.9992	0.9982	44.9	4883
nc	75	8	75	5625	0.05	0.005	8	0.9982	0.9989	38.2	4883
nc	100	8	100	10000	0.05	0.005	7	0.9985	0.9992	57.7	4883
