sweep_var	x_val	alpha	beta	QPS	ms_per_q	R@1	R@10
alpha	0.01	0.01	0.005	63	15.866	0.9889	0.9758
alpha	0.02	0.02	0.005	63	15.776	0.9957	0.9903
alpha	0.03	0.03	0.005	57	17.433	0.9982	0.9953
alpha	0.05	0.05	0.005	54	18.555	0.9982	0.9967
alpha	0.07	0.07	0.005	48	20.680	0.9986	0.9975
alpha	0.1	0.1	0.005	41	24.341	0.9985	0.9977
alpha	0.15	0.15	0.005	38	26.439	0.9983	0.9972
alpha	0.2	0.2	0.005	33	30.642	0.9973	0.9958
beta	0.001	0.05	0.001	59	17.055	0.9882	0.9752
beta	0.002	0.05	0.002	56	18.013	0.9952	0.9896
beta	0.003	0.05	0.003	55	18.091	0.9970	0.9944
beta	0.005	0.05	0.005	51	19.741	0.9982	0.9967
beta	0.007	0.05	0.007	50	19.834	0.9985	0.9973
beta	0.01	0.05	0.01	46	21.861	0.9989	0.9981
beta	0.015	0.05	0.015	38	25.994	0.9993	0.9993
beta	0.02	0.05	0.02	35	28.840	0.9993	0.9994
