sweep_var	x_val	alpha	beta	QPS	ms_per_q	R@1	R@10
alpha	0.01	0.01	0.005	33	29.977	0.9868	0.9708
alpha	0.02	0.02	0.005	27	36.579	0.9968	0.9936
alpha	0.03	0.03	0.005	16	61.541	0.9974	0.9956
alpha	0.05	0.05	0.005	15	66.163	0.9983	0.9981
alpha	0.07	0.07	0.005	22	46.141	0.9985	0.9982
alpha	0.1	0.1	0.005	25	39.399	0.9986	0.9987
alpha	0.15	0.15	0.005	19	51.295	0.9977	0.9986
alpha	0.2	0.2	0.005	17	58.163	0.9984	0.9977
beta	0.001	0.05	0.001	31	32.496	0.9924	0.9841
beta	0.002	0.05	0.002	34	29.176	0.9959	0.9921
beta	0.003	0.05	0.003	33	30.212	0.9973	0.9962
beta	0.005	0.05	0.005	24	41.468	0.9983	0.9981
beta	0.007	0.05	0.007	20	50.258	0.9982	0.9984
beta	0.01	0.05	0.01	15	65.562	0.9985	0.9988
beta	0.015	0.05	0.015	19	52.573	0.9989	0.9995
beta	0.02	0.05	0.02	17	57.515	0.9986	0.9997
