N,size,SuCo_build_time_s,SuCo_memory_mb,SuCo_size_mb,SHG_build_time_s,SHG_memory_mb,SHG_size_mb,CSPG_build_time_s,CSPG_memory_mb,CSPG_size_mb,HNSW32_build_time_s,HNSW32_memory_mb,HNSW32_size_mb,HNSW48_build_time_s,HNSW48_memory_mb,HNSW48_size_mb
100000,100k,0.52,46.29,55.11,1.2,0.0,135.06,1.27,0.0,90.05,0.98,0.0,74.79,1.09,0.0,86.99
200000,200k,0.81,111.89,110.04,3.69,0.0,270.09,3.88,0.0,180.11,3.06,0.0,149.56,3.31,0.0,173.96
500000,500k,1.58,269.89,274.84,15.83,0.0,675.24,18.21,0.0,450.23,13.69,0.0,373.9,15.05,0.0,434.91
1000000,1m,2.83,514.15,549.49,37.28,0.0,1350.48,47.56,0.0,900.46,34.61,0.0,747.8,36.23,0.0,869.83
2000000,2m,5.57,990.14,1098.81,86.6,0.0,2701.0,113.24,0.0,1800.95,81.46,0.0,1495.63,85.02,0.0,1739.69
5000000,5m,13.59,2434.11,2746.76,256.69,0.0,6752.48,343.25,0.0,4502.33,240.61,0.0,3739.08,250.58,0.0,4349.2
10000000,10m,28.05,4842.2,5493.34,566.83,0.0,13504.92,764.29,0.0,9004.57,535.11,0.0,7478.04,551.38,0.0,8698.37
20000000,20m,56.82,9652.09,10986.51,1243.73,0.0,27009.79,1703.81,0.0,18009.01,1173.68,0.0,14956.05,1213.3,0.0,17396.7
50000000,50m,145.77,24094.9,27466.0,3401.18,0.0,67524.32,4768.71,0.0,45022.43,3231.01,0.0,37390.14,3330.36,0.0,43491.6
100000000,100m,294.13,48138.47,54931.82,7407.27,0.0,135048.29,10138.15,0.0,90045.17,6861.51,0.0,74780.17,7138.83,0.0,86982.89
