N,size,SuCo_qps,SHG_qps,CSPG_qps,HNSW32_qps,HNSW48_qps
100000,100k,47901.81,227495.76,239868.77,306654.89,283314.63
200000,200k,22814.49,120773.11,124911.97,167876.56,146992.28
500000,500k,10412.33,68642.93,72670.59,99728.07,84894.82
1000000,1m,5707.21,54811.26,62007.28,72666.76,63292.76
2000000,2m,2889.27,44174.35,49686.80,57700.49,51559.09
5000000,5m,651.88,32614.10,34796.85,43661.25,39764.39
10000000,10m,143.12,27306.60,28309.93,36983.96,32984.44
20000000,20m,66.63,22015.01,24104.12,30698.60,27605.57
50000000,50m,25.87,17816.33,17910.50,24765.79,22023.10
100000000,100m,12.67,15244.30,17078.01,20715.42,19301.41
