Dataset,Index,cold mean (ms),cold p95 (ms),warm mean (ms),warm p95 (ms),cold/warm,regime
SIFT1M,SuCo,7.726,7.852,6.811,6.972,1.13,CPU$
SIFT1M,SHG,0.774,0.995,0.538,0.758,1.44,disk
SIFT1M,CSPG,0.9,1.259,0.557,0.774,1.62,disk
SIFT1M,HNSW32,0.462,0.628,0.39,0.517,1.18,disk
SIFT1M,HNSW48,0.48,0.616,0.42,0.525,1.14,disk
SIFT1M,OPQ-IVFPQ,44.494,119.476,9.953,10.872,4.47,disk
SIFT10M,SuCo,193.286,194.176,196.057,197.092,0.99,CPU$
SIFT10M,SHG,1.253,1.605,1.089,1.423,1.15,disk
SIFT10M,CSPG,1.432,2.095,1.188,1.766,1.21,disk
SIFT10M,HNSW32,0.638,0.886,0.611,0.84,1.04,disk
SIFT10M,HNSW48,0.728,0.953,0.718,0.921,1.01,disk
SIFT10M,OPQ-IVFPQ,801.677,1908.396,37.731,44.268,21.25,disk
GIST1M,SuCo,17.204,17.884,16.997,17.76,1.01,CPU$
GIST1M,SHG,4.62,5.917,4.718,6.228,0.98,disk
GIST1M,CSPG,5.643,7.424,5.812,8.139,0.97,disk
GIST1M,HNSW32,4.095,5.228,4.08,5.598,1,disk
GIST1M,HNSW48,3.709,4.761,3.7,4.863,1,disk
GIST1M,OPQ-IVFPQ,172.707,572.927,25.326,27.808,6.82,disk
DEEP1M,SuCo,7.817,8.08,7.236,7.501,1.08,CPU$
DEEP1M,SHG,0.664,0.83,0.491,0.677,1.35,disk
DEEP1M,CSPG,0.781,1.131,0.486,0.675,1.61,disk
DEEP1M,HNSW32,0.396,0.521,0.341,0.451,1.16,disk
DEEP1M,HNSW48,0.428,0.564,0.382,0.494,1.12,disk
DEEP1M,OPQ-IVFPQ,77.242,213.424,8.427,8.895,9.17,disk
DEEP10M,SuCo,198.461,199.163,201.458,203.381,0.98,CPU$
DEEP10M,SHG,1.32,1.772,1.228,1.642,1.07,disk
DEEP10M,CSPG,1.402,2.047,1.067,1.531,1.31,disk
DEEP10M,HNSW32,0.679,0.915,0.662,0.871,1.03,disk
DEEP10M,HNSW48,0.824,1.076,0.835,1.073,0.99,disk
DEEP10M,OPQ-IVFPQ,406.132,984.057,32.515,36.22,12.49,disk
SPACEV10M,SuCo,190.549,191.244,192.864,193.658,0.99,CPU$
SPACEV10M,SHG,1.685,2.457,1.494,2.246,1.13,disk
SPACEV10M,CSPG,2.391,3.224,1.938,2.652,1.23,disk
SPACEV10M,HNSW32,1.342,1.822,1.233,1.672,1.09,disk
SPACEV10M,HNSW48,1.552,2.232,1.374,2.007,1.13,disk
SPACEV10M,OPQ-IVFPQ,417.284,1118.119,35.614,40.818,11.72,disk
MSong,SuCo,16.879,17.634,16.633,17.327,1.01,CPU$
MSong,SHG,0.729,0.918,0.592,0.761,1.23,disk
MSong,CSPG,0.666,0.896,0.485,0.671,1.38,disk
MSong,HNSW32,0.487,0.686,0.449,0.623,1.09,disk
MSong,HNSW48,0.506,0.604,0.452,0.573,1.12,disk
MSong,OPQ-IVFPQ,107.584,497.798,25.777,40.125,4.17,disk
Enron,SHG,0.828,1.11,0.603,0.946,1.37,disk
Enron,CSPG,0.753,0.98,0.489,0.791,1.54,disk
Enron,HNSW32,0.664,0.913,0.463,0.723,1.44,disk
Enron,HNSW48,0.715,0.973,0.524,0.816,1.36,disk
Enron,OPQ-IVFPQ,13.999,30.247,10.42,10.598,1.34,disk
OpenAI1M,SuCo,35.003,35.533,33.622,34.986,1.04,CPU$
OpenAI1M,SHG,0.851,1.129,0.689,1.006,1.24,disk
OpenAI1M,CSPG,0.857,1.14,0.67,0.959,1.28,disk
OpenAI1M,HNSW32,0.455,0.612,0.372,0.51,1.23,disk
OpenAI1M,HNSW48,0.471,0.58,0.375,0.503,1.25,disk
OpenAI1M,OPQ-IVFPQ,167.716,586.412,21.05,21.496,7.97,disk
MSTuring10M,SuCo,278.565,279.666,279.685,280.149,1,CPU$
MSTuring10M,SHG,4.775,6.594,4.475,6.282,1.07,disk
MSTuring10M,CSPG,5.745,7.814,4.932,6.712,1.17,disk
MSTuring10M,HNSW32,4.68,6.254,4.281,5.845,1.09,disk
MSTuring10M,HNSW48,2.984,4.158,2.937,4.086,1.02,disk
MSTuring10M,OPQ-IVFPQ,380.982,965.898,40.253,83.707,9.46,disk
UQ-V,SuCo,18.18,18.418,17.784,18.439,1.02,CPU$
UQ-V,SHG,5.105,11.714,7.106,11.216,0.72,disk
UQ-V,CSPG,1.67,3.05,1.551,2.62,1.08,disk
UQ-V,HNSW32,4.301,6.318,4.224,6.101,1.02,disk
UQ-V,HNSW48,6.451,9.032,6.501,9.063,0.99,disk
UQ-V,OPQ-IVFPQ,124.662,648.612,23.331,40.213,5.34,disk
