Dataset,Index,p50 (ms),p95 (ms),p99 (ms),p999 (ms),achieved recall
SIFT1M,SuCo,10.314,10.498,10.594,10.853,0.994
SIFT1M,SHG,0.977,1.262,1.364,1.703,0.991
SIFT1M,CSPG,1.027,1.484,1.601,1.871,0.99
SIFT1M,HNSW32,0.804,1.05,1.228,1.319,0.995
SIFT1M,HNSW48,0.708,0.875,0.932,1.005,0.991
SIFT10M,SuCo,196.647,198.447,200.086,201.831,0.991
SIFT10M,SHG,2.395,3.137,3.366,3.647,0.993
SIFT10M,CSPG,2.839,4.163,4.471,4.807,0.993
SIFT10M,HNSW32,1.357,1.85,1.978,2.129,0.991
SIFT10M,HNSW48,1.555,1.978,2.116,2.279,0.993
GIST1M,SuCo,27.784,28.825,29.331,29.645,0.994
GIST1M,SHG,15.817,19.961,21.139,22.301,0.995
GIST1M,CSPG,16.802,21.894,23.058,24.479,0.992
GIST1M,HNSW32,13.316,16.972,17.807,18.159,0.993
GIST1M,HNSW48,12.677,15.845,16.605,16.847,0.995
DEEP1M,SuCo,10.072,10.229,10.325,10.486,0.995
DEEP1M,SHG,0.982,1.31,1.525,2.078,0.991
DEEP1M,CSPG,1.014,1.388,1.497,1.714,0.992
DEEP1M,HNSW32,0.85,1.229,1.312,1.404,0.993
DEEP1M,HNSW48,0.75,0.953,1.116,1.218,0.991
DEEP10M,SuCo,203.883,206.55,207.642,207.994,0.992
DEEP10M,SHG,2.725,3.743,3.983,4.205,0.991
DEEP10M,CSPG,3.475,4.78,5.198,5.766,0.993
DEEP10M,HNSW32,2.125,2.946,3.173,3.349,0.993
DEEP10M,HNSW48,1.804,2.429,2.571,2.698,0.991
SPACEV10M,SuCo,211.962,215.7,216.575,217.222,0.992
SPACEV10M,SHG,11.981,18.929,20.243,21.789,0.99
SPACEV10M,HNSW48,8.117,12.605,13.384,13.895,0.99
MSong,SuCo,43.466,44.7,45.15,45.905,0.993
MSong,SHG,1.235,1.601,1.741,1.826,0.993
MSong,CSPG,1.274,1.986,2.173,2.21,0.994
MSong,HNSW32,0.875,1.269,1.342,1.416,0.993
MSong,HNSW48,0.958,1.228,1.314,1.336,0.994
OpenAI1M,SuCo,58.202,58.922,60.415,61.818,0.99
OpenAI1M,SHG,2.993,5.126,5.709,6.464,0.991
OpenAI1M,CSPG,1.896,2.909,3.219,3.626,0.992
OpenAI1M,HNSW32,1.956,3.044,3.402,3.559,0.991
OpenAI1M,HNSW48,2.558,4.32,4.717,5.036,0.99
