Dataset,Index,recall@1000 qps,recall@10000 qps
SIFT1M,SuCo,0.999,—
SIFT1M,SHG,1,0.999
SIFT1M,CSPG,1,0.999
SIFT1M,HNSW32,1,0.999
SIFT1M,HNSW48,1,0.999
SIFT1M,OPQ-IVFPQ,0.785,0.785
SIFT10M,SHG,1,0.989
SIFT10M,CSPG,1,0.985
SIFT10M,HNSW32,1,0.994
SIFT10M,HNSW48,1,0.995
SIFT10M,OPQ-IVFPQ,0.753,0.743
GIST1M,SuCo,0.966,—
GIST1M,SHG,0.987,0.654
GIST1M,CSPG,0.979,0.738
GIST1M,HNSW32,0.987,0.729
GIST1M,HNSW48,0.986,0.715
GIST1M,OPQ-IVFPQ,0.627,0.599
DEEP1M,SuCo,0.999,—
DEEP1M,SHG,1,0.998
DEEP1M,CSPG,1,0.998
DEEP1M,HNSW32,1,0.999
DEEP1M,HNSW48,1,0.999
DEEP1M,OPQ-IVFPQ,0.708,0.708
DEEP10M,SHG,0.999,0.99
DEEP10M,CSPG,0.999,0.985
DEEP10M,HNSW32,0.999,0.992
DEEP10M,HNSW48,0.999,0.994
DEEP10M,OPQ-IVFPQ,0.659,0.654
SPACEV10M,SHG,0.993,0.969
SPACEV10M,CSPG,0.987,0.961
SPACEV10M,HNSW32,0.985,0.964
SPACEV10M,HNSW48,0.993,0.974
SPACEV10M,OPQ-IVFPQ,0.725,0.69
MSong,SuCo,0.9,—
MSong,SHG,1,0.998
MSong,CSPG,0.999,0.925
MSong,HNSW32,1,0.997
MSong,HNSW48,1,0.999
MSong,OPQ-IVFPQ,0.814,0.814
Enron,SHG,0.999,0.962
Enron,CSPG,0.997,0.879
Enron,HNSW32,0.998,0.975
Enron,HNSW48,0.999,0.974
Enron,OPQ-IVFPQ,0.766,0.764
OpenAI1M,SuCo,0.847,—
OpenAI1M,SHG,0.995,0.982
OpenAI1M,CSPG,0.997,0.982
OpenAI1M,HNSW32,0.996,0.987
OpenAI1M,HNSW48,0.995,0.982
OpenAI1M,OPQ-IVFPQ,0.731,0.721
MSTuring10M,SHG,0.988,0.915
MSTuring10M,CSPG,0.985,0.916
MSTuring10M,HNSW32,0.985,0.931
MSTuring10M,HNSW48,0.991,0.938
MSTuring10M,OPQ-IVFPQ,0.678,0.628
UQ-V,SuCo,0.879,—
UQ-V,SHG,0.839,0.835
UQ-V,CSPG,0.821,0.821
UQ-V,HNSW32,0.815,0.815
UQ-V,HNSW48,0.838,0.834
UQ-V,OPQ-IVFPQ,0.804,0.804
