Dataset,Index,mean,min,q25,median,q75,max,ms/query
SIFT1M,SuCo,0.944,0.45,0.9,0.95,1,1,0.465
SIFT1M,SHG,0.998,0.85,1,1,1,1,0.181
SIFT1M,CSPG,0.997,0.8,1,1,1,1,0.167
SIFT1M,HNSW32,0.996,0.75,1,1,1,1,0.096
SIFT1M,HNSW48,0.998,0.85,1,1,1,1,0.152
SIFT10M,SuCo,0.986,0.4,1,1,1,1,6.904
SIFT10M,SHG,0.998,0.7,1,1,1,1,0.223
SIFT10M,CSPG,0.996,0.4,1,1,1,1,0.208
SIFT10M,HNSW32,0.994,0,1,1,1,1,0.107
SIFT10M,HNSW48,0.998,0.75,1,1,1,1,0.175
GIST1M,SuCo,0.709,0.1,0.6,0.7,0.85,1,0.984
GIST1M,SHG,0.972,0.75,0.95,1,1,1,0.954
GIST1M,CSPG,0.946,0.35,0.9,1,1,1,0.653
GIST1M,HNSW32,0.919,0.2,0.9,0.95,1,1,0.401
GIST1M,HNSW48,0.97,0.7,0.95,1,1,1,0.889
DEEP1M,SuCo,0.944,0.35,0.9,1,1,1,0.476
DEEP1M,SHG,0.997,0.65,1,1,1,1,0.173
DEEP1M,CSPG,0.996,0.5,1,1,1,1,0.161
DEEP1M,HNSW32,0.993,0,1,1,1,1,0.092
DEEP1M,HNSW48,0.997,0.75,1,1,1,1,0.145
DEEP10M,SuCo,0.98,0.2,1,1,1,1,7.82
DEEP10M,SHG,0.992,0,1,1,1,1,0.258
DEEP10M,CSPG,0.987,0,1,1,1,1,0.232
DEEP10M,HNSW32,0.981,0,1,1,1,1,0.12
DEEP10M,HNSW48,0.992,0.05,1,1,1,1,0.203
SPACEV10M,SuCo,0.937,0.05,0.9,1,1,1,5.595
SPACEV10M,SHG,0.984,0,1,1,1,1,0.252
SPACEV10M,CSPG,0.978,0,1,1,1,1,0.254
SPACEV10M,HNSW32,0.969,0,1,1,1,1,0.128
SPACEV10M,HNSW48,0.983,0,1,1,1,1,0.196
MSong,SuCo,0.623,0.15,0.5,0.65,0.75,1,0.841
MSong,SHG,0.999,0.95,1,1,1,1,0.35
MSong,CSPG,0.998,0.95,1,1,1,1,0.477
MSong,HNSW32,0.998,0.9,1,1,1,1,0.187
MSong,HNSW48,0.999,0.95,1,1,1,1,0.326
Enron,SHG,0.998,0.9,1,1,1,1,0.394
Enron,CSPG,0.99,0.75,1,1,1,1,0.451
Enron,HNSW32,0.988,0.3,1,1,1,1,0.216
Enron,HNSW48,0.996,0.9,1,1,1,1,0.391
OpenAI1M,SuCo,0.647,0,0.45,0.7,0.85,1,1.013
OpenAI1M,SHG,0.99,0.3,1,1,1,1,0.666
OpenAI1M,CSPG,0.992,0.55,1,1,1,1,0.763
OpenAI1M,HNSW32,0.989,0.5,1,1,1,1,0.521
OpenAI1M,HNSW48,0.989,0.2,1,1,1,1,0.653
MSTuring10M,SuCo,0.748,0,0.6,0.75,0.9,1,5.553
MSTuring10M,SHG,0.94,0,0.9,1,1,1,0.346
MSTuring10M,CSPG,0.939,0,0.9,1,1,1,0.353
MSTuring10M,HNSW32,0.916,0,0.9,1,1,1,0.172
MSTuring10M,HNSW48,0.939,0,0.9,1,1,1,0.248
UQ-V,SuCo,0.801,0,0.75,0.9,1,1,0.519
UQ-V,SHG,0.882,0,0.85,1,1,1,0.124
UQ-V,CSPG,0.865,0,0.85,1,1,1,0.112
UQ-V,HNSW32,0.855,0,0.85,1,1,1,0.066
UQ-V,HNSW48,0.879,0,0.85,1,1,1,0.114
