Dataset,Index,speedup@0.80,speedup@0.90,speedup@0.95,speedup@0.99
SIFT1M,SuCo,0.036 ± 0.001,0.043,0.056,0.075
SIFT1M,SHG,0.458 ± 0.002,0.574 ± 0.001,0.634,0.638 ± 0.001
SIFT1M,CSPG,0.633 ± 0.004,0.69 ± 0.002,0.72 ± 0.002,0.633
SIFT1M,HNSW32,1 ± 0.007,1 ± 0.001,1 ± 0.001,1 ± 0.001
SIFT1M,HNSW48,0.66 ± 0.004,0.826 ± 0.003,0.905 ± 0.001,0.901 ± 0.001
SIFT1M,OPQ-IVFPQ,—,—,—,—
SIFT10M,SuCo,0.001,0.002,0.003,0.006
SIFT10M,SHG,0.493 ± 0.001,0.61 ± 0.001,0.634 ± 0.001,0.756 ± 0.008
SIFT10M,CSPG,0.66 ± 0.002,0.692 ± 0.001,0.686 ± 0.001,0.699 ± 0.007
SIFT10M,HNSW32,1 ± 0.004,1 ± 0.001,1 ± 0.002,1 ± 0.01
SIFT10M,HNSW48,0.723 ± 0.002,0.88 ± 0.001,0.882 ± 0.001,0.977 ± 0.01
SIFT10M,OPQ-IVFPQ,—,—,—,—
GIST1M,SuCo,0.22 ± 0.005,0.397 ± 0.002,0.52 ± 0.003,—
GIST1M,SHG,0.722 ± 0.001,0.867 ± 0.002,1.036 ± 0.001,—
GIST1M,CSPG,0.794 ± 0.004,0.946 ± 0.009,0.886 ± 0.007,—
GIST1M,HNSW32,1 ± 0.001,1 ± 0.003,1 ± 0.001,—
GIST1M,HNSW48,0.782 ± 0.001,0.878 ± 0.002,0.901 ± 0.001,—
GIST1M,OPQ-IVFPQ,—,—,—,—
DEEP1M,SuCo,0.027 ± 0.001,0.033,0.045,0.082
DEEP1M,SHG,0.453 ± 0.003,0.602 ± 0.002,0.63 ± 0.001,0.666 ± 0.001
DEEP1M,CSPG,0.779 ± 0.009,0.844 ± 0.002,0.808 ± 0.02,0.833 ± 0.001
DEEP1M,HNSW32,1 ± 0.01,1 ± 0.001,1 ± 0.001,1
DEEP1M,HNSW48,0.63 ± 0.005,0.836 ± 0.003,0.856 ± 0.001,0.898
DEEP1M,OPQ-IVFPQ,—,—,—,—
DEEP10M,SuCo,0.001,0.002,0.003,0.008
DEEP10M,SHG,0.546 ± 0.001,0.645 ± 0.001,0.684 ± 0.001,0.768
DEEP10M,CSPG,0.773 ± 0.003,0.778 ± 0.001,0.808 ± 0.002,0.721 ± 0.001
DEEP10M,HNSW32,1 ± 0.003,1 ± 0.001,1 ± 0.001,1 ± 0.001
DEEP10M,HNSW48,0.753 ± 0.001,0.888 ± 0.001,0.943 ± 0.001,1.018
DEEP10M,OPQ-IVFPQ,—,—,—,—
SPACEV10M,SuCo,0.001,0.002,0.006,—
SPACEV10M,SHG,0.582 ± 0.001,0.764,0.956 ± 0.001,—
SPACEV10M,CSPG,0.856 ± 0.001,0.945 ± 0.001,0.932 ± 0.001,—
SPACEV10M,HNSW32,1,1,1,—
SPACEV10M,HNSW48,0.883 ± 0.001,1.073,1.282,—
SPACEV10M,OPQ-IVFPQ,—,—,—,—
MSong,SuCo,0.031 ± 0.002,0.023 ± 0.001,0.02,0.007
MSong,SHG,0.309 ± 0.1,0.348 ± 0.11,0.621 ± 0.03,0.622 ± 0.008
MSong,CSPG,0.214 ± 0.02,0.215 ± 0.008,0.206 ± 0.004,0.174 ± 0.003
MSong,HNSW32,1 ± 0.09,1 ± 0.03,1 ± 0.01,1 ± 0.008
MSong,HNSW48,0.567 ± 0.04,0.639 ± 0.02,0.713 ± 0.01,0.689 ± 0.006
MSong,OPQ-IVFPQ,—,—,—,—
OpenAI1M,SuCo,0.101,0.066,0.043,0.023
OpenAI1M,SHG,2.121 ± 0.001,2.121 ± 0.001,2.121 ± 0.001,2.121 ± 0.001
OpenAI1M,CSPG,0.797 ± 0.001,0.797 ± 0.001,0.797 ± 0.001,0.797 ± 0.001
OpenAI1M,HNSW32,1,1,1,1
OpenAI1M,HNSW48,0.723 ± 0.008,0.723 ± 0.008,0.723 ± 0.008,0.723 ± 0.008
OpenAI1M,OPQ-IVFPQ,3.084 ± 0.08,3.084 ± 0.08,3.084 ± 0.08,3.084 ± 0.08
UQ-V,SuCo,—,—,—,—
UQ-V,SHG,—,—,—,—
UQ-V,CSPG,—,—,—,—
UQ-V,HNSW32,—,—,—,—
UQ-V,HNSW48,—,—,—,—
UQ-V,OPQ-IVFPQ,—,—,—,—
