Dataset,Index,qps@t1,eff@t1,qps@t2,eff@t2,qps@t4,eff@t4,qps@t8,eff@t8,qps@t16,eff@t16,qps@t32,eff@t32
SIFT1M,SHG,3152.7,1,3137,0.498,3100.6,0.246,3069.6,0.122,3061.2,0.061,2994,0.03
SIFT1M,CSPG,3153.8,1,3145,0.499,3098.9,0.246,3005.3,0.119,2962.9,0.059,2939.4,0.029
SIFT1M,HNSW32,4998.3,1,4977.5,0.498,4910.1,0.246,4850.9,0.121,4675.1,0.058,4465.7,0.028
SIFT1M,HNSW48,4229.8,1,4193.9,0.496,4131.1,0.244,4069,0.12,4005.4,0.059,3850.6,0.028
SIFT10M,SHG,1743.5,1,1734.3,0.497,1725.1,0.247,1699.6,0.122,1679.2,0.06,1659.2,0.03
SIFT10M,CSPG,1572.6,1,1567,0.498,1535.5,0.244,1483.3,0.118,1455.8,0.058,1425.8,0.028
SIFT10M,HNSW32,2668.3,1,2669.2,0.5,2653.6,0.249,2601.2,0.122,2519.7,0.059,2461.5,0.029
SIFT10M,HNSW48,1757.7,1,1755.3,0.499,1732.9,0.246,1691.2,0.12,1676.8,0.06,1655.9,0.029
GIST1M,SHG,254.1,1,250.2,0.492,245.8,0.242,239.5,0.118,234.1,0.058,228,0.028
GIST1M,CSPG,266.4,1,258.1,0.484,255.3,0.24,243.4,0.114,234,0.055,220.3,0.026
GIST1M,HNSW32,335.5,1,331.3,0.494,318.3,0.237,302.2,0.113,275.4,0.051,232,0.022
GIST1M,HNSW48,298.7,1,292.6,0.49,283.5,0.237,272.8,0.114,260.6,0.055,233.4,0.024
DEEP1M,SHG,3556.9,1,3551.3,0.499,3518.4,0.247,3472.7,0.122,3465.8,0.061,3381.9,0.03
DEEP1M,CSPG,3641.6,1,3657.6,0.502,3597.2,0.247,3534.1,0.121,3489.5,0.06,3384.1,0.029
DEEP1M,HNSW32,4224.5,1,4189.6,0.496,4136.2,0.245,4049.8,0.12,3926,0.058,3677.9,0.027
DEEP1M,HNSW48,4837.5,1,4809.4,0.497,4780.4,0.247,4665.2,0.121,4593.5,0.059,4560,0.029
DEEP10M,SHG,1381,1,1374.6,0.498,1369,0.248,1360.6,0.123,1328.3,0.06,1319,0.03
DEEP10M,CSPG,1402.8,1,1398.5,0.498,1388.5,0.247,1344.1,0.12,1298.4,0.058,1272.2,0.028
DEEP10M,HNSW32,2495.4,1,2488.1,0.499,2469.1,0.247,2418.8,0.121,2374.2,0.059,2252.6,0.028
DEEP10M,HNSW48,2017.7,1,2016.7,0.5,2000.8,0.248,1980.6,0.123,1919.6,0.059,1843.7,0.029
SPACEV10M,SHG,926.2,1,924.1,0.499,916,0.247,905.4,0.122,867.3,0.059,860.8,0.029
SPACEV10M,CSPG,559.1,1,556.8,0.498,551.7,0.247,545.8,0.122,534.5,0.06,530,0.03
SPACEV10M,HNSW32,1009.5,1,1004.5,0.498,981.3,0.243,962.9,0.119,917.4,0.057,869,0.027
SPACEV10M,HNSW48,1327.2,1,1322.5,0.498,1295,0.244,1271.5,0.12,1216.3,0.057,1196.3,0.028
MSong,SHG,2883.2,1,2847.9,0.494,2459.4,0.213,2139.2,0.093,1547.4,0.034,1386.9,0.015
MSong,CSPG,3168.9,1,2455.1,0.387,2505.1,0.198,1201.2,0.047,605,0.012,308.3,0.003
MSong,HNSW32,4011.2,1,3991.9,0.498,3731.4,0.233,2864.5,0.089,2411,0.038,1443.2,0.011
MSong,HNSW48,3846.2,1,3842.9,0.5,3526.3,0.229,3004.5,0.098,2486.1,0.04,1377.3,0.011
OpenAI1M,SHG,2603.9,1,2587.4,0.497,2570.7,0.247,2566.8,0.123,2557.6,0.061,2514.6,0.03
OpenAI1M,CSPG,2881.3,1,2864.5,0.497,2813.9,0.244,2785.9,0.121,2750.8,0.06,2717.3,0.029
OpenAI1M,HNSW32,3958.4,1,3924.5,0.496,3857.8,0.244,3859.4,0.122,3574.7,0.056,3080.4,0.024
OpenAI1M,HNSW48,2993.7,1,2974.9,0.497,2920.4,0.244,2929.3,0.122,2822.8,0.059,2724.2,0.028
