dataset	method	alpha	beta	param	qps	recall1	recall10
SIFT1M	SuCo	0.005	0.0005		477.50458109908385	0.8074	0.813
SIFT1M	SuCo	0.008	0.0008		447.3068045826805	0.8883	0.8951
SIFT1M	SuCo	0.01	0.001		436.1915048858183	0.9103	0.9166
SIFT1M	SuCo	0.015	0.0015		433.0784778369958	0.9397	0.9469
SIFT1M	SuCo	0.02	0.002		422.74820267258144	0.9595	0.9661
SIFT1M	SuCo	0.03	0.003		373.67679586909566	0.9823	0.9902
SIFT1M	SuCo	0.05	0.005000000000000001		331.65665463536067	0.9895	0.9965
SIFT1M	SuCo	0.07	0.007000000000000001		288.7221858822876	0.9912	0.9988
SIFT1M	SuCo	0.1	0.010000000000000002		254.9553888896775	0.9909	0.9991
SIFT1M	SuCo	0.15	0.015		206.82723553601977	0.9922	0.9996
SIFT1M	SuCo	0.2	0.020000000000000004		172.05115956624493	0.9928	0.9998
SIFT1M	SuCo	0.3	0.03		123.7527123959717	0.9908	0.9987
SIFT1M	HNSW			8	130788.62269776152	0.8061	0.8133
SIFT1M	HNSW			12	108519.35658110678	0.8674	0.875
SIFT1M	HNSW			16	89870.13818880782	0.9072	0.9149
SIFT1M	HNSW			24	66242.21964415464	0.9428	0.9508
SIFT1M	HNSW			32	52239.74648050394	0.9602	0.9684
SIFT1M	HNSW			48	37960.66443064889	0.9752	0.9836
SIFT1M	HNSW			64	28995.431584157588	0.9823	0.9909
SIFT1M	HNSW			96	20264.413430366116	0.9876	0.9962
SIFT1M	HNSW			128	15677.894521485496	0.9898	0.9984
SIFT1M	HNSW			192	10504.106062417872	0.9907	0.9993
SIFT1M	HNSW			256	8118.482207466458	0.9912	0.9998
SIFT1M	HNSW			384	4724.194906388094	0.9914	1.0
SIFT1M	HNSW			512	3700.6770296099235	0.9914	1.0
SIFT1M	IVFFlat			1	179156.75608684868	0.4633	0.4667
SIFT1M	IVFFlat			2	93730.55881745215	0.6258	0.6299
SIFT1M	IVFFlat			4	46713.32801830054	0.772	0.7775
SIFT1M	IVFFlat			8	24641.39834999833	0.8796	0.8866
SIFT1M	IVFFlat			12	16803.23142942859	0.9237	0.9313
SIFT1M	IVFFlat			16	12834.948715139295	0.946	0.9541
SIFT1M	IVFFlat			24	8680.051976915649	0.9686	0.9768
SIFT1M	IVFFlat			32	6576.023486676767	0.9795	0.9879
SIFT1M	IVFFlat			48	4444.154174019527	0.987	0.9955
SIFT1M	IVFFlat			64	3403.6850932673756	0.9891	0.9977
SIFT1M	IVFFlat			96	2313.773951284101	0.9908	0.9994
SIFT1M	IVFFlat			128	1761.4396940485794	0.9912	0.9998
SIFT1M	IVFFlat			192	1196.1538391947906	0.9914	1.0
