ef,ndis_per_query,recall,ms_per_query,qps
10,645.0,0.4631,0.030114,33207.5
20,939.4,0.6064,0.047804,20918.6
40,1444.6,0.7334,0.078078,12807.7
60,1922.4,0.8028,0.106883,9356.0
80,2384.3,0.838,0.136105,7347.3
100,2833.6,0.864,0.163488,6116.6
150,3896.9,0.9093,0.230146,4345.1
200,4898.2,0.9325,0.294628,3394.1
300,6771.1,0.9544,0.415797,2405.0
400,8508.0,0.9676,0.536606,1863.6
600,11686.6,0.9794,0.770049,1298.6
800,14595.2,0.984,0.974998,1025.6
1000,17299.4,0.9865,1.198613,834.3
1500,23479.8,0.9914,1.781719,561.3
2000,29046.3,0.9931,2.493011,401.1
