ef,ndis_per_query,recall,ms_per_query,qps
10,568.3,0.76865,0.004893,204367.8
20,812.7,0.88361,0.007765,128781.5
40,1272.0,0.95462,0.013229,75591.9
60,1706.7,0.97777,0.018659,53594.2
80,2120.8,0.98716,0.023971,41717.0
100,2518.1,0.99184,0.029248,34190.1
150,3452.9,0.99669,0.042559,23496.9
200,4327.0,0.99825,0.055493,18020.4
300,5948.3,0.9993,0.079299,12610.5
400,7450.4,0.99965,0.10369,9644.2
600,10217.2,0.99987,0.150125,6661.1
800,12759.5,0.99988,0.196175,5097.5
1000,15141.1,0.9999,0.242486,4124.0
1500,20606.6,0.99993,0.358844,2786.7
2000,25578.2,0.99994,0.482614,2072.0
