d,threads,nq,recall,ndis_per_query,ms_per_query,speedup_vs_1t,efficiency,achieved_gbs
960,1,2000,0.8645,2837.0,0.576352,1.0,1.0,18.9
960,2,2000,0.8645,2837.0,0.302489,1.905,0.9527,36.01
960,4,2000,0.8645,2837.0,0.163888,3.517,0.8792,66.47
960,8,2000,0.8645,2837.0,0.099694,5.781,0.7227,109.27
960,16,2000,0.8645,2837.0,0.080404,7.168,0.448,135.49
960,32,2000,0.8645,2837.0,0.081828,7.043,0.2201,133.13
3840,1,2000,0.8645,2837.0,1.504396,1.0,1.0,28.97
3840,2,2000,0.8645,2837.0,0.805175,1.868,0.9342,54.12
3840,4,2000,0.8645,2837.0,0.465168,3.234,0.8085,93.68
3840,8,2000,0.8645,2837.0,0.319973,4.702,0.5877,136.19
3840,16,2000,0.8645,2837.0,0.28898,5.206,0.3254,150.79
3840,32,2000,0.8645,2837.0,0.291768,5.156,0.1611,149.35
