d,threads,nq,recall,ndis_per_query,ms_per_query,speedup_vs_1t,efficiency,achieved_gbs
128,1,2000,0.99185,2510.6,0.446643,1.0,1.0,2.88
128,2,2000,0.99185,2510.6,0.225833,1.978,0.9889,5.69
128,4,2000,0.99185,2510.6,0.118691,3.763,0.9408,10.83
128,8,2000,0.99185,2510.6,0.063339,7.052,0.8815,20.29
128,16,2000,0.99185,2510.6,0.038325,11.654,0.7284,33.54
128,32,2000,0.99185,2510.6,0.029393,15.196,0.4749,43.73
512,1,2000,0.99185,2510.6,0.735934,1.0,1.0,6.99
512,2,2000,0.99185,2510.6,0.376234,1.956,0.978,13.67
512,4,2000,0.99185,2510.6,0.20572,3.577,0.8943,24.99
512,8,2000,0.99185,2510.6,0.119272,6.17,0.7713,43.11
512,16,2000,0.99185,2510.6,0.089951,8.181,0.5113,57.16
512,32,2000,0.99185,2510.6,0.090227,8.156,0.2549,56.99
