Data dir:   /Users/dhm/Documents/data
Index dir:  /Users/dhm/Documents/indices
Output dir: /Users/dhm/Documents/SuCo/benchs/results
Datasets:   ['openai']
Benchmarks: ['construction', 'recall_k20', 'recall_k50', 'robustness', 'ablation']

######################################################################
# Dataset: OPENAI
######################################################################

Loading dataset openai...
  Loaded in 2.0s: xb=(990000, 1536), xq=(10000, 1536), gt=(10000, 100)
  Loaded robustness queries from cache

--- Building SHG ---
  SHG: add=603.46s, shortcut=1.09s, total=604.54s
  SHG: time=604.54s, memory=8104.56MB
  Saved to /Users/dhm/Documents/indices/openai_shg.idx
  SHG (ef/nprobe=10): recall=0.8138, time=0.2600 ms/q
  SHG (ef/nprobe=15): recall=0.8688, time=0.2665 ms/q
  SHG (ef/nprobe=20): recall=0.8996, time=0.3197 ms/q
  SHG (ef/nprobe=30): recall=0.9328, time=0.4163 ms/q
  SHG (ef/nprobe=40): recall=0.9496, time=0.5102 ms/q
  SHG (ef/nprobe=60): recall=0.9671, time=0.7019 ms/q
  SHG (ef/nprobe=80): recall=0.9755, time=0.8698 ms/q
  SHG (ef/nprobe=100): recall=0.9804, time=1.0187 ms/q
  SHG (ef/nprobe=150): recall=0.9867, time=1.4136 ms/q
  SHG (ef/nprobe=200): recall=0.9899, time=1.8009 ms/q
  SHG (ef/nprobe=300): recall=0.9930, time=2.5640 ms/q
  SHG (ef/nprobe=400): recall=0.9946, time=3.2140 ms/q
  SHG (ef/nprobe=600): recall=0.9962, time=5.7117 ms/q
  SHG (ef/nprobe=800): recall=0.9970, time=8.5265 ms/q
  SHG (ef/nprobe=1000): recall=0.9975, time=9.8432 ms/q
  SHG (ef/nprobe=1500): recall=0.9984, time=13.2728 ms/q
  SHG (ef/nprobe=2000): recall=0.9988, time=20.6464 ms/q
  SHG (ef/nprobe=10): recall=0.7427, time=0.2968 ms/q
  SHG (ef/nprobe=15): recall=0.8114, time=0.3968 ms/q
  SHG (ef/nprobe=20): recall=0.8531, time=0.4499 ms/q
  SHG (ef/nprobe=30): recall=0.9004, time=0.5594 ms/q
  SHG (ef/nprobe=40): recall=0.9257, time=0.6968 ms/q
  SHG (ef/nprobe=60): recall=0.9524, time=0.9791 ms/q
  SHG (ef/nprobe=80): recall=0.9656, time=1.2349 ms/q
  SHG (ef/nprobe=100): recall=0.9733, time=1.3835 ms/q
  SHG (ef/nprobe=150): recall=0.9829, time=1.9456 ms/q
  SHG (ef/nprobe=200): recall=0.9875, time=2.7424 ms/q
  SHG (ef/nprobe=300): recall=0.9919, time=4.4775 ms/q
  SHG (ef/nprobe=400): recall=0.9940, time=4.9992 ms/q
  SHG (ef/nprobe=600): recall=0.9959, time=7.1929 ms/q
  SHG (ef/nprobe=800): recall=0.9968, time=9.0820 ms/q
  SHG (ef/nprobe=1000): recall=0.9974, time=10.8310 ms/q
  SHG (ef/nprobe=1500): recall=0.9983, time=16.2030 ms/q
  SHG (ef/nprobe=2000): recall=0.9987, time=20.0948 ms/q
  SHG (ef/nprobe=10): recall=0.8138, time=0.3411 ms/q
  SHG (ef/nprobe=15): recall=0.8688, time=0.4040 ms/q
  SHG (ef/nprobe=20): recall=0.8996, time=0.4836 ms/q
  SHG (ef/nprobe=30): recall=0.9328, time=0.6402 ms/q
  SHG (ef/nprobe=40): recall=0.9496, time=0.8273 ms/q
  SHG (ef/nprobe=60): recall=0.9671, time=1.1330 ms/q
  SHG (ef/nprobe=80): recall=0.9755, time=1.3516 ms/q
  SHG (ef/nprobe=100): recall=0.9804, time=1.4571 ms/q
  SHG (ef/nprobe=150): recall=0.9867, time=2.3896 ms/q
  SHG (ef/nprobe=200): recall=0.9899, time=3.0377 ms/q
  SHG (ef/nprobe=300): recall=0.9930, time=3.8783 ms/q
  SHG (ef/nprobe=400): recall=0.9946, time=4.7276 ms/q
  SHG (ef/nprobe=600): recall=0.9962, time=6.9816 ms/q
  SHG (ef/nprobe=800): recall=0.9970, time=8.4746 ms/q
  SHG (ef/nprobe=1000): recall=0.9975, time=10.6392 ms/q
  SHG (ef/nprobe=1500): recall=0.9984, time=15.6085 ms/q
  SHG (ef/nprobe=2000): recall=0.9988, time=21.3387 ms/q
  SHG-no-shortcut (ef/nprobe=10): recall=0.8176, time=0.2894 ms/q
  SHG-no-shortcut (ef/nprobe=15): recall=0.8705, time=0.3857 ms/q
  SHG-no-shortcut (ef/nprobe=20): recall=0.9002, time=0.4805 ms/q
  SHG-no-shortcut (ef/nprobe=30): recall=0.9331, time=0.6347 ms/q
