iter	RMSE
0	1.609711479
1	1.58459279
2	1.561252894
3	1.533224326
4	1.499878616
5	1.47058078
6	1.443424876
7	1.416393784
8	1.386818856
9	1.363763671
10	1.344117023
11	1.324151745
12	1.297011723
13	1.272826001
14	1.250537466
15	1.223920794
16	1.201622918
17	1.177568941
18	1.15157983
19	1.130333178
20	1.106196272
21	1.089305598
22	1.069179803
23	1.049060406
24	1.030580459
25	1.013396086
26	0.9962403308
27	0.9786507636
28	0.9674303717
29	0.9561117538
30	0.9414674822
31	0.9292006209
32	0.9127981205
33	0.8966728637
34	0.8809658913
35	0.8677356963
36	0.8551390911
37	0.8405719257
38	0.827440508
39	0.8143488083
40	0.7974586835
41	0.7854638796
42	0.7741763553
43	0.7620778019
44	0.7503531698
45	0.7383041307
46	0.7263926213
47	0.7135253933
48	0.7004339564
49	0.6900546094
50	0.680689587
51	0.6717482982
52	0.6617199419
53	0.6518023764
54	0.6437866685
55	0.6337907747
56	0.6246774293
57	0.6162897673
58	0.6099568526
59	0.6005728525
60	0.5911720973
61	0.5805506633
62	0.5731005773
63	0.5653642821
64	0.5583546117
65	0.5490246208
66	0.5413048517
67	0.5355142471
68	0.5290402103
69	0.5215197642
70	0.513164511
71	0.5078322202
72	0.5015339774
73	0.4935517824
74	0.4878070901
75	0.4806316922
76	0.4726565416
77	0.4673052555
78	0.4595724421
79	0.453302877
80	0.4463896077
81	0.4397466059
82	0.4335453865
83	0.4273295551
84	0.421331864
85	0.4157582994
86	0.4117738146
87	0.4073017501
88	0.4009365412
89	0.3970138845
90	0.391469392
91	0.3867314079
92	0.3810755701
93	0.3781614748
94	0.3742783555
95	0.3703987968
96	0.3666562855
97	0.3605203065
98	0.3545327664
99	0.3485383375
100	0.3442344345
101	0.3390331602
102	0.3335640546
103	0.3285248102
104	0.3228694351
105	0.3187456595
106	0.3135789917
107	0.3088461834
108	0.303916089
109	0.2992992239
110	0.2948408897
111	0.2904784815
112	0.2862867204
113	0.2820649134
114	0.2782371246
115	0.2738828514
116	0.2700510773
117	0.2663527346
118	0.2627487303
119	0.2591531765
120	0.2554113997
121	0.2519851774
122	0.2488045305
123	0.2455619347
124	0.2424334698
125	0.2394149796
126	0.236279491
127	0.2331077726
128	0.2301232353
129	0.2273264208
130	0.2246261379
131	0.222019402
132	0.2190691953
133	0.2162133597
134	0.2137164506
135	0.2112321353
136	0.2089035315
137	0.206634778
138	0.2041783366
139	0.2020038982
140	0.1994234165
141	0.197348037
142	0.1952684975
143	0.1929904391
144	0.1910678191
145	0.1890941356
146	0.186751259
147	0.1844802715
148	0.1825843043
149	0.1807488022
150	0.1790357758
151	0.1773323021
152	0.1753545433
153	0.1732857522
154	0.1717013975
155	0.1701732228
156	0.1686085283
157	0.167296224
158	0.1654739255
159	0.1637054514
160	0.1624573765
161	0.1607518615
162	0.1593579818
163	0.1575063337
164	0.1561690171
165	0.1550389702
166	0.1532636677
167	0.1517594635
168	0.1506814672
169	0.1496367381
170	0.1486393018
171	0.1476679306
172	0.1466803212
173	0.1457459428
174	0.1448353188
175	0.1439475819
176	0.1425268956
177	0.1416698189
178	0.140312653
179	0.1390083626
180	0.1381881959
181	0.1369424924
182	0.1357456262
183	0.134959599
184	0.134191971
185	0.1331203948
186	0.1323795469
187	0.1314717352
188	0.1307570345
189	0.1300583233
190	0.1293750896
191	0.1282977209
192	0.1273598828
193	0.1267020978
194	0.1256987421
195	0.1250580458
196	0.1240133878
197	0.1233901325
198	0.1224421138
199	0.1218345119
200	0.1210019837
201	0.1204106376
202	0.1196168327
203	0.1190409068
204	0.1181476453
205	0.1175854428
206	0.1167256807
207	0.1159850078
208	0.1154386467
209	0.1147049628
210	0.1141732276
211	0.113605196
212	0.1130878511
213	0.1122769012
214	0.1117712124
215	0.1112329634
216	0.1107407047
217	0.1098995826
218	0.1093852464
219	0.1089080774
220	0.1084152367
221	0.1079502439
222	0.107148581
223	0.1066772098
224	0.1062259833
225	0.1054805746
226	0.1047239045
227	0.1042846367
228	0.1038378284
229	0.103131953
230	0.1027045091
231	0.101991927
232	0.1015660542
233	0.1011508943
234	0.1007422981
235	0.100337136
236	0.09965747587
237	0.09926606257
238	0.09887221794
239	0.0982188046
240	0.09757693067
241	0.09719329138
242	0.09682140419
243	0.09620190701
244	0.0958280251
245	0.09502445436
246	0.09467019871
247	0.09389508032
248	0.09333087935
249	0.09296979145
250	0.09241120572
251	0.09207430638
252	0.09172314626
253	0.09118810796
254	0.09048962382
255	0.09003929681
256	0.08969778901
257	0.0891980003
258	0.08854418458
259	0.08807419478
260	0.08745490306
261	0.08712322
262	0.08681439325
263	0.0863736501
264	0.08578879221
265	0.08546629477
266	0.08505137174
267	0.08449800808
268	0.08410712816
269	0.08379286269
270	0.08339786628
271	0.08287954218
272	0.08259475833
273	0.08228916047
274	0.08178521941
275	0.08128731304
276	0.08099007871
277	0.08063978585
278	0.08016857879
279	0.07969525675
280	0.07940603053
281	0.07895267144
282	0.07864738741
283	0.07836592276
284	0.07793127144
285	0.07734773368
286	0.07707527687
287	0.076655836
288	0.07639016872
289	0.07583847001
290	0.07558068479
291	0.07532761816
292	0.07492417474
293	0.07464263477
294	0.07422833212
295	0.07371112247
296	0.07332567226
297	0.07292532894
298	0.07264820231
299	0.07227541142
