iter	Passed	Remaining
0	0	33
1	0	27
2	0	25
3	0	24
4	0	23
5	0	23
6	0	22
7	0	22
8	0	21
9	0	21
10	0	21
11	0	21
12	0	20
13	1	20
14	1	20
15	1	20
16	1	20
17	1	19
18	1	19
19	1	19
20	1	19
21	1	19
22	1	19
23	1	18
24	1	18
25	1	18
26	1	18
27	1	18
28	1	18
29	2	18
30	2	18
31	2	18
32	2	18
33	2	18
34	2	17
35	2	17
36	2	17
37	2	17
38	2	17
39	2	17
40	2	17
41	2	17
42	2	17
43	3	17
44	3	17
45	3	17
46	3	17
47	3	17
48	3	17
49	3	16
50	3	16
51	3	16
52	3	16
53	3	16
54	3	16
55	3	16
56	3	16
57	3	16
58	3	16
59	4	16
60	4	16
61	4	16
62	4	15
63	4	15
64	4	15
65	4	15
66	4	15
67	4	15
68	4	15
69	4	15
70	4	15
71	4	15
72	4	15
73	4	15
74	5	15
75	5	14
76	5	14
77	5	14
78	5	14
79	5	14
80	5	14
81	5	14
82	5	14
83	5	14
84	5	14
85	5	14
86	5	14
87	5	14
88	5	13
89	5	13
90	6	13
91	6	13
92	6	13
93	6	13
94	6	13
95	6	13
96	6	13
97	6	13
98	6	13
99	6	13
100	6	13
101	6	13
102	6	12
103	6	12
104	6	12
105	6	12
106	7	12
107	7	12
108	7	12
109	7	12
110	7	12
111	7	12
112	7	12
113	7	12
114	7	12
115	7	12
116	7	11
117	7	11
118	7	11
119	7	11
120	7	11
121	7	11
122	8	11
123	8	11
124	8	11
125	8	11
126	8	11
127	8	11
128	8	11
129	8	11
130	8	11
131	8	10
132	8	10
133	8	10
134	8	10
135	8	10
136	8	10
137	8	10
138	9	10
139	9	10
140	9	10
141	9	10
142	9	10
143	9	10
144	9	10
145	9	9
146	9	9
147	9	9
148	9	9
149	9	9
150	9	9
151	9	9
152	9	9
153	9	9
154	10	9
155	10	9
156	10	9
157	10	9
158	10	9
159	10	9
160	10	8
161	10	8
162	10	8
163	10	8
164	10	8
165	10	8
166	10	8
167	10	8
168	10	8
169	10	8
170	11	8
171	11	8
172	11	8
173	11	8
174	11	8
175	11	7
176	11	7
177	11	7
178	11	7
179	11	7
180	11	7
181	11	7
182	11	7
183	11	7
184	11	7
185	11	7
186	11	7
187	12	7
188	12	7
189	12	7
190	12	6
191	12	6
192	12	6
193	12	6
194	12	6
195	12	6
196	12	6
197	12	6
198	12	6
199	12	6
200	12	6
201	12	6
202	12	6
203	13	6
204	13	6
205	13	6
206	13	5
207	13	5
208	13	5
209	13	5
210	13	5
211	13	5
212	13	5
213	13	5
214	13	5
215	13	5
216	13	5
217	13	5
218	13	5
219	14	5
220	14	5
221	14	4
222	14	4
223	14	4
224	14	4
225	14	4
226	14	4
227	14	4
228	14	4
229	14	4
230	14	4
231	14	4
232	14	4
233	14	4
234	14	4
235	15	4
236	15	4
237	15	3
238	15	3
239	15	3
240	15	3
241	15	3
242	15	3
243	15	3
244	15	3
245	15	3
246	15	3
247	15	3
248	15	3
249	15	3
250	15	3
251	15	3
252	16	2
253	16	2
254	16	2
255	16	2
256	16	2
257	16	2
258	16	2
259	16	2
260	16	2
261	16	2
262	16	2
263	16	2
264	16	2
265	16	2
266	16	2
267	16	2
268	17	1
269	17	1
270	17	1
271	17	1
272	17	1
273	17	1
274	17	1
275	17	1
276	17	1
277	17	1
278	17	1
279	17	1
280	17	1
281	17	1
282	17	1
283	17	1
284	18	0
285	18	0
286	18	0
287	18	0
288	18	0
289	18	0
290	18	0
291	18	0
292	18	0
293	18	0
294	18	0
295	18	0
296	18	0
297	18	0
298	18	0
299	18	0
